worker,problem,example,row,col,posterior
AJD65G9H2QUE9,10,1,1,5,0
AJD65G9H2QUE9,10,2,6,2,0
AJD65G9H2QUE9,10,3,2,2,0
AJD65G9H2QUE9,10,4,4,6,0
AJD65G9H2QUE9,17,1,1,4,0
AJD65G9H2QUE9,17,2,3,6,0.03
AJD65G9H2QUE9,17,3,4,1,0.08
AJD65G9H2QUE9,17,4,5,4,0.08
AJD65G9H2QUE9,14,1,3,3,0.07
AJD65G9H2QUE9,14,2,3,4,0.19
AJD65G9H2QUE9,14,3,4,3,0.48
AJD65G9H2QUE9,14,4,4,4,0.87
AJD65G9H2QUE9,9,1,5,3,0
AJD65G9H2QUE9,9,2,2,1,0
AJD65G9H2QUE9,9,3,2,2,0.04
AJD65G9H2QUE9,9,4,6,3,0.29
AJD65G9H2QUE9,6,1,2,3,0
AJD65G9H2QUE9,6,2,3,6,0
AJD65G9H2QUE9,6,3,6,4,0.04
AJD65G9H2QUE9,6,4,3,2,0.2
AJD65G9H2QUE9,34,1,2,5,0
AJD65G9H2QUE9,34,2,3,2,0
AJD65G9H2QUE9,34,3,5,1,0.07
AJD65G9H2QUE9,34,4,5,6,0.12
AJD65G9H2QUE9,13,1,6,2,0
AJD65G9H2QUE9,13,2,5,5,0
AJD65G9H2QUE9,13,3,4,3,0.05
AJD65G9H2QUE9,13,4,4,4,0.14
AJD65G9H2QUE9,3,1,3,3,0.05
AJD65G9H2QUE9,3,2,4,4,0.22
AJD65G9H2QUE9,3,3,4,3,0.53
AJD65G9H2QUE9,3,4,3,4,0.69
AJD65G9H2QUE9,20,1,2,5,0
AJD65G9H2QUE9,20,2,5,2,0
AJD65G9H2QUE9,20,3,1,1,0
AJD65G9H2QUE9,20,4,6,6,0
AJD65G9H2QUE9,24,1,3,2,0
AJD65G9H2QUE9,24,2,4,5,0
AJD65G9H2QUE9,24,3,1,3,0
AJD65G9H2QUE9,24,4,6,4,0.1
AJD65G9H2QUE9,16,1,1,3,0
AJD65G9H2QUE9,16,2,4,2,0
AJD65G9H2QUE9,16,3,3,5,0.19
AJD65G9H2QUE9,16,4,6,4,0.35
AJD65G9H2QUE9,31,1,2,1,0
AJD65G9H2QUE9,31,2,3,6,0
AJD65G9H2QUE9,31,3,5,1,0.08
AJD65G9H2QUE9,31,4,5,6,0.36
AJD65G9H2QUE9,15,1,3,2,0.05
AJD65G9H2QUE9,15,2,3,4,0.1
AJD65G9H2QUE9,15,3,5,2,0.46
AJD65G9H2QUE9,15,4,5,4,0.76
AJD65G9H2QUE9,29,1,2,4,0
AJD65G9H2QUE9,29,2,5,5,0
AJD65G9H2QUE9,29,3,4,2,0.07
AJD65G9H2QUE9,29,4,5,2,0.21
AJD65G9H2QUE9,5,1,5,1,0.08
