worker,problem,example,row,col,posterior,response_time
A3RKG5PZN97RD5,11,1,2,4,0.51,10590
A3RKG5PZN97RD5,11,2,5,5,0.97,3126
A3RKG5PZN97RD5,20,1,2,5,0.22,31303
A3RKG5PZN97RD5,20,2,1,1,0.22,25363
A3RKG5PZN97RD5,28,1,5,2,0.2,15201
A3RKG5PZN97RD5,28,2,3,2,0.51,4955
A3RKG5PZN97RD5,28,3,3,5,0.51,2329
A3RKG5PZN97RD5,28,4,5,5,0.25,2352
A3RKG5PZN97RD5,38,1,3,2,0.46,17135
A3RKG5PZN97RD5,38,2,4,4,0.67,15336
A3RKG5PZN97RD5,37,1,1,1,0.26,8328
A3RKG5PZN97RD5,37,2,6,6,0.26,6489
A3RKG5PZN97RD5,37,3,1,6,0.26,14953
A3RKG5PZN97RD5,37,4,6,1,0.04,2846
A3RKG5PZN97RD5,2,1,1,2,0.51,10959
A3RKG5PZN97RD5,2,2,6,2,0.51,5409
A3RKG5PZN97RD5,2,3,1,5,0.71,2832
A3RKG5PZN97RD5,2,4,6,5,0.99,2379
A3RKG5PZN97RD5,13,1,6,2,0.5,12186
A3RKG5PZN97RD5,13,2,6,5,0.96,4501
A3RKG5PZN97RD5,3,1,3,3,0,7333
A3RKG5PZN97RD5,3,2,3,4,0,2741
A3RKG5PZN97RD5,7,1,5,3,0.51,9772
A3RKG5PZN97RD5,7,2,5,5,0.71,11657
A3RKG5PZN97RD5,7,3,5,4,0.71,6543
A3RKG5PZN97RD5,7,4,3,5,0.71,2296
A3RKG5PZN97RD5,31,1,5,4,0.49,8533
A3RKG5PZN97RD5,31,2,2,1,0.67,8513
A3RKG5PZN97RD5,31,3,2,6,0.82,4930
A3RKG5PZN97RD5,31,4,5,3,0.98,2544
A3RKG5PZN97RD5,27,1,6,6,0.02,8425
A3RKG5PZN97RD5,27,2,3,5,0.21,10368
A3RKG5PZN97RD5,29,1,4,2,0.29,10993
A3RKG5PZN97RD5,29,2,2,5,0.65,6292
A3RKG5PZN97RD5,26,1,2,3,0,9383
A3RKG5PZN97RD5,26,2,2,4,0.02,2623
A3RKG5PZN97RD5,26,3,5,3,0.02,3858
A3RKG5PZN97RD5,26,4,5,4,0.02,3039
A3RKG5PZN97RD5,32,1,2,3,0.38,9553
A3RKG5PZN97RD5,32,2,1,2,0.58,5133
A3RKG5PZN97RD5,32,3,5,4,0.67,5336
A3RKG5PZN97RD5,32,4,6,5,0.67,2400
A3RKG5PZN97RD5,10,1,3,3,0.15,12923
A3RKG5PZN97RD5,10,2,6,4,0.61,7653
A3RKG5PZN97RD5,24,1,2,3,0.28,14874
A3RKG5PZN97RD5,24,2,5,4,0.66,6894
A3RKG5PZN97RD5,21,1,3,4,0.21,11765
A3RKG5PZN97RD5,21,2,2,4,0.21,3132
A3RKG5PZN97RD5,36,1,1,3,0.49,7787
A3RKG5PZN97RD5,36,2,1,4,0.99,3470
A3RKG5PZN97RD5,36,3,2,3,0.99,3785
A3RKG5PZN97RD5,36,4,2,4,0.99,2429
A3RKG5PZN97RD5,39,1,1,2,0.53,9299
A3RKG5PZN97RD5,39,2,5,5,0.98,5619
A3RKG5PZN97RD5,39,3,6,5,0.98,2383
A3RKG5PZN97RD5,39,4,2,2,0.98,12461
A3RKG5PZN97RD5,14,1,3,3,0,4926
