,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,posterior,log dGh1_lit,log dGh1_prag
0,A10249252O9I20MRSOBVF,47,"(0, 1)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.4876817488198014,0.6928436712284541,0.6934506898914365,0.07739916006920142,0.16,-3.1780538303479458,-2.55877935026444
1,A10249252O9I20MRSOBVF,47,"(5, 4)",1.0,0.0,0.6931471805599453,0.0036231884057971015,1.0,0.0,0.7180922399317315,0.009359067122974555,0.24,-5.62040086571715,-4.671409659808529
2,A10249252O9I20MRSOBVF,47,"(5, 1)",1.0,0.0,0.0,0.0004940711462450593,1.0,0.0,0.0,0.0008012157518942244,0.37,-7.6128310304073565,-7.129380293988659
3,A10249252O9I20MRSOBVF,47,"(0, 4)",1.0,0.0,0.0,9.410878976096367e-05,1.0,0.0,0.0,0.00012030797679566144,0.55,-9.271059107010888,-9.02545562965353
4,A10249252O9I20MRSOBVF,58,"(4, 0)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.25,1.3862943611198906,0.0,0.08333333333333333,0.2,-2.4849066497880004,-2.4849066497880004
5,A10249252O9I20MRSOBVF,58,"(5, 0)",0.25,1.3862943611198906,0.0,0.015151515151515152,0.25,1.3862943611198906,0.0,0.015151515151515152,0.2,-4.189654742026425,-4.189654742026425
6,A10249252O9I20MRSOBVF,58,"(4, 5)",0.25,1.3862943611198906,0.0,0.004545454545454545,0.25,1.3862943611198906,0.0,0.004545454545454545,0.2,-5.393627546352362,-5.393627546352362
7,A10249252O9I20MRSOBVF,58,"(5, 5)",0.25,1.3862943611198906,0.0,0.00202020202020202,0.25,1.3862943611198906,0.0,0.00202020202020202,0.45,-6.20455776256869,-6.20455776256869
8,A10249252O9I20MRSOBVF,59,"(0, 2)",0.5,0.6931471805599453,0.6931471805599453,0.0625,0.5,0.6931471805599453,0.6931471805599453,0.12499780714336488,0.49,-2.772588722239781,-2.0794590846867944
9,A10249252O9I20MRSOBVF,59,"(5, 3)",0.5,0.6931471805599453,0.0,0.008333333333333333,0.5,0.6931471805599453,0.0,0.014206872291298942,0.49,-4.787491742782046,-4.254029467271831
10,A10249252O9I20MRSOBVF,59,"(2, 5)",0.5,0.6931471805599453,0.0,0.0017857142857142857,0.5,0.6931471805599453,0.0,0.0022123887493293933,0.49,-6.327936783729195,-6.113682465135386
11,A10249252O9I20MRSOBVF,59,"(3, 0)",0.5,0.6931471805599453,0.0,0.0005494505494505495,0.5,0.6931471805599453,0.0,0.0005948839976151728,0.54,-7.506591780070841,-7.42714413341751
12,A10249252O9I20MRSOBVF,60,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.08333333333333333,0.5,0.6931471805599453,0.6931471805599453,0.16666525539739932,0.49,-2.4849066497880004,-1.7917679368795096
13,A10249252O9I20MRSOBVF,60,"(4, 2)",0.5,0.6931471805599453,0.0,0.015151515151515152,0.5,0.6931471805599453,0.0,0.02978154520059467,0.49,-4.189654742026425,-3.5138663658798
14,A10249252O9I20MRSOBVF,60,"(1, 2)",0.5,0.6931471805599453,0.0,0.004545454545454545,0.5,0.6931471805599453,0.0,0.007341508528912466,0.49,-5.393627546352362,-4.914210935822195
15,A10249252O9I20MRSOBVF,60,"(1, 4)",0.5,0.6931471805599453,0.0,0.00202020202020202,0.5,0.6931471805599453,0.0,0.0027100078706106907,0.49,-6.20455776256869,-5.9108037398103574
16,A10249252O9I20MRSOBVF,61,"(1, 3)",0.5,0.6931471805599453,0.6931471805599453,0.0625,0.5,0.6931471805599453,0.6931471805599453,0.12499999824217808,0.22,-2.772588722239781,-2.0794415557424113
17,A10249252O9I20MRSOBVF,61,"(5, 1)",0.5,0.6931471805599453,0.0,0.008333333333333333,0.5,0.6931471805599453,0.0,0.01666623449020783,0.22,-4.787491742782046,-4.094370493145834
18,A10249252O9I20MRSOBVF,61,"(2, 0)",0.5,0.6931471805599453,0.0,0.0017857142857142857,0.5,0.6931471805599453,0.0,0.0035637022551827766,0.43,-6.327936783729195,-5.63695531518027
19,A10249252O9I20MRSOBVF,61,"(5, 3)",0.5,0.6931471805599453,0.0,0.0005494505494505495,0.5,0.6931471805599453,0.0,0.0010634932370970956,0.47,-7.506591780070841,-6.846196282444253
20,A10249252O9I20MRSOBVF,64,"(4, 0)",0.5,0.6931471805599453,0.6931471805599453,0.05555555555555555,0.4110118220115821,0.6772246993142639,0.7090696618056269,0.09133217107565308,0.28,-2.890371757896165,-2.3932521867921994
21,A10249252O9I20MRSOBVF,64,"(4, 5)",0.5,0.6931471805599453,0.0,0.006535947712418301,0.13481536932174662,0.3954390712563479,0.18241452650690418,0.0034279458332229728,0.34,-5.030437921392435,-5.675794079648291
22,A10249252O9I20MRSOBVF,64,"(1, 2)",1.0,0.0,0.6931471805599453,0.0012254901960784314,1.0,0.0,2.0038490712632706,0.002716800225904699,0.4,-6.704414354964107,-5.908300478696226
23,A10249252O9I20MRSOBVF,64,"(1, 3)",1.0,0.0,0.0,0.000326797385620915,1.0,0.0,0.0,0.0004999999201828555,0.82,-8.026170194946426,-7.600902619176384
24,A10249252O9I20MRSOBVF,65,"(2, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.058823529411764705,0.3242347815486997,1.0984251605165554,0.2878692006033351,0.07568992208406385,0.25,-2.833213344056216,-2.5811102570701805
25,A10249252O9I20MRSOBVF,65,"(3, 1)",0.3333333333333333,1.0986122886681096,0.0,0.007352941176470588,0.17650556460858488,1.0368559780315154,0.055478212709103386,0.004202691587261433,0.32,-4.912654885736052,-5.472030104842255
26,A10249252O9I20MRSOBVF,65,"(5, 4)",0.3333333333333333,1.0986122886681096,0.0,0.0014705882352941176,0.03831738781328407,0.8291469364131195,0.09065575035310318,0.0001755247137856997,0.45,-6.522092798170152,-8.647730705680724
27,A10249252O9I20MRSOBVF,65,"(5, 0)",1.0,0.0,1.0986122886681098,0.0004201680672268908,1.0,0.0,3.261851495914795,0.0009857863493149398,0.5,-7.77485576666552,-6.922070911105832
28,A10249252O9I20MRSOBVF,66,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.1,0.4037088300109162,0.6744868402506523,0.7118075208692384,0.16148347457643308,0.57,-2.3025850929940455,-1.8233524661590748
29,A10249252O9I20MRSOBVF,66,"(5, 1)",1.0,0.0,0.6931471805599453,0.022222222222222223,1.0,0.0,0.9070613786576748,0.08855638478945235,0.57,-3.8066624897703196,-2.424115813575658
30,A10249252O9I20MRSOBVF,66,"(5, 4)",1.0,0.0,0.0,0.008333333333333333,1.0,0.0,0.0,0.029355476340949937,0.67,-4.787491742782046,-3.528276162687408
31,A10249252O9I20MRSOBVF,66,"(4, 1)",1.0,0.0,0.0,0.004761904761904762,1.0,0.0,0.0,0.011720916825474508,0.67,-5.3471075307174685,-4.446380270463311
32,A10249252O9I20MRSOBVF,70,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.29289321881345254,1.0843916958452147,0.30190266527467585,0.1464466094067262,0.28,-2.0794415416798357,-1.9210943578594613
