,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,posterior,response_time,log dGh1_lit
0,A10249252O9I20MRSOBVF,43,"(0, 2)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.1545791549673206,0.4305705431839634,0.9557238179359273,0.017175782056898,0.27,43670,-3.1780538303479458
1,A10249252O9I20MRSOBVF,43,"(3, 0)",1.0,0.0,0.6931471805599453,0.0036231884057971015,1.0,0.0,1.867048983954914,0.006472491818610552,0.81,6495,-5.62040086571715
2,A10249252O9I20MRSOBVF,43,"(2, 5)",1.0,0.0,0.0,0.0004940711462450593,1.0,0.0,0.0,0.0006666665996956975,0.86,15065,-7.6128310304073565
3,A10249252O9I20MRSOBVF,43,"(0, 3)",1.0,0.0,0.0,9.410878976096367e-05,1.0,0.0,0.0,0.0001066666666666666,0.89,16260,-9.271059107010888
4,A10249252O9I20MRSOBVF,47,"(0, 1)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.7450211524142473,0.567739153155754,0.8185552079641367,0.08194308810681428,0.56,9201,-3.1780538303479458
5,A10249252O9I20MRSOBVF,47,"(5, 4)",1.0,0.0,0.6931471805599453,0.0036231884057971015,1.0,0.0,0.2943426685032916,0.005586592647882438,0.65,4238,-5.62040086571715
6,A10249252O9I20MRSOBVF,47,"(0, 4)",1.0,0.0,0.0,0.0004940711462450593,1.0,0.0,0.0,0.0006142637066644666,0.68,4943,-7.6128310304073565
7,A10249252O9I20MRSOBVF,47,"(5, 1)",1.0,0.0,0.0,9.410878976096367e-05,1.0,0.0,0.0,0.00010568379151262863,0.8,3616,-9.271059107010888
8,A10249252O9I20MRSOBVF,55,"(2, 2)",0.25,1.3862943611198906,0.0,0.25,0.9999974698529549,3.513673977535948e-05,1.386259224380115,0.25,0.14,9237,-1.3862943611198906
9,A10249252O9I20MRSOBVF,55,"(3, 3)",0.25,1.3862943611198906,0.0,0.16666666666666666,1.0,6.717853508272095e-34,2.5301502461451006e-06,0.16666666666666666,0.14,9505,-1.791759469228055
10,A10249252O9I20MRSOBVF,55,"(2, 3)",0.25,1.3862943611198906,0.0,0.25,1.0,1.0530770940901835e-63,-4.8607943702392116e-64,0.25,0.25,3135,-1.3862943611198906
11,A10249252O9I20MRSOBVF,55,"(3, 2)",0.25,1.3862943611198906,0.0,1.0,1.0,2.695171601764247e-103,-1.022032016792953e-103,1.0,0.49,2675,0.0
12,A10249252O9I20MRSOBVF,57,"(1, 5)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.833160722013095,0.45083890883801425,0.9354554522818763,0.11106764641800387,0.59,8392,-3.1780538303479458
13,A10249252O9I20MRSOBVF,57,"(2, 4)",0.5,0.6931471805599453,0.0,0.0036231884057971015,0.9939808038853772,0.036775999608270535,0.15543275708509852,0.006410256410256411,0.72,4926,-5.62040086571715
14,A10249252O9I20MRSOBVF,57,"(3, 2)",0.5,0.6931471805599453,0.0,0.0004940711462450593,0.9999999894166351,2.0493609170187883e-07,0.006037233609240931,0.0006830601092896174,0.77,8391,-7.6128310304073565
15,A10249252O9I20MRSOBVF,57,"(2, 1)",0.5,0.6931471805599453,0.0,9.410878976096367e-05,0.9999999999999974,8.852782065479855e-14,1.0583323368439119e-08,0.00011355893708834888,0.81,4315,-9.271059107010888
16,A10249252O9I20MRSOBVF,58,"(4, 0)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.6248626644214584,0.8177293952438299,0.5685649658760608,0.08333333333333331,0.26,11006,-2.4849066497880004
17,A10249252O9I20MRSOBVF,58,"(5, 5)",0.25,1.3862943611198906,0.0,0.015151515151515152,0.9090863908137405,0.30464650094338463,0.22337934288521882,0.015151515151515152,0.47,2913,-4.189654742026425
18,A10249252O9I20MRSOBVF,59,"(0, 2)",0.5,0.6931471805599453,0.6931471805599453,0.0625,1.0,8.568762175663129e-17,1.3862943611198906,0.18749999979424653,0.55,7059,-2.772588722239781
19,A10249252O9I20MRSOBVF,59,"(5, 3)",0.5,0.6931471805599453,0.0,0.008333333333333333,1.0,1.7077623313514888e-27,-6.517327064462776e-28,0.014285714285714285,0.65,10237,-4.787491742782046
20,A10249252O9I20MRSOBVF,60,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.08333333333333333,0.8571408113848444,0.41011998377761083,0.9761743773422797,0.14285669480611052,0.31,21256,-2.4849066497880004
21,A10249252O9I20MRSOBVF,60,"(4, 2)",0.5,0.6931471805599453,0.0,0.015151515151515152,0.9999999999964773,9.642327124360111e-11,0.15415306645767654,0.02352941177211674,0.47,7688,-4.189654742026425
22,A10249252O9I20MRSOBVF,60,"(1, 4)",0.5,0.6931471805599453,0.0,0.004545454545454545,1.0,2.0588720128920935e-23,3.522737657118478e-12,0.006644413273948245,0.59,3378,-5.393627546352362
23,A10249252O9I20MRSOBVF,60,"(1, 2)",0.5,0.6931471805599453,0.0,0.00202020202020202,1.0,2.9287724558060797e-34,-9.096118402148918e-35,0.0027094635216818154,0.77,2627,-6.20455776256869
24,A10249252O9I20MRSOBVF,61,"(1, 2)",0.5,0.6931471805599453,0.6931471805599453,0.0625,0.8431996563181119,0.43432582470337017,0.9519685364165206,0.12491846763707422,0.41,22925,-2.772588722239781
25,A10249252O9I20MRSOBVF,61,"(1, 3)",0.5,0.6931471805599453,0.0,0.008333333333333333,0.9999999999994064,1.7307284936927846e-11,0.17055150877118563,0.014493194730402018,0.47,6320,-4.787491742782046
26,A10249252O9I20MRSOBVF,61,"(2, 3)",0.5,0.6931471805599453,0.0,0.0017857142857142857,1.0,3.4325059664230423e-26,5.937472735693385e-13,0.0028363045458596973,0.5,2630,-6.327936783729195
27,A10249252O9I20MRSOBVF,61,"(3, 3)",0.5,0.6931471805599453,0.0,0.0005494505494505495,1.0,5.975766982290384e-38,-1.8175988864631012e-38,0.0007547168880051029,0.62,12869,-7.506591780070841
28,A10249252O9I20MRSOBVF,62,"(1, 0)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.5804387961535649,0.9746974895413386,0.4115968715785521,0.08333333333333333,0.37,12935,-2.4849066497880004
29,A10249252O9I20MRSOBVF,62,"(4, 2)",0.25,1.3862943611198906,0.0,0.015151515151515152,0.9991930594493398,0.006925136471852565,0.5377574254242455,0.015151515151515154,0.57,3473,-4.189654742026425
30,A10249252O9I20MRSOBVF,63,"(3, 5)",0.5,0.6931471805599453,0.6931471805599453,0.05263157894736842,0.5580324424999381,0.6863964472664955,0.6998979138533952,0.06377513629165749,0.36,30323,-2.9444389791664407
31,A10249252O9I20MRSOBVF,63,"(2, 2)",1.0,0.0,0.6931471805599453,0.005847953216374269,1.0,0.0,0.5833381776100374,0.007908597606360267,0.82,17188,-5.14166355650266
32,A10249252O9I20MRSOBVF,64,"(5, 0)",0.5,0.6931471805599453,0.6931471805599453,0.05555555555555555,0.38290398732475284,0.6654678887595076,0.7208264723603831,0.07658079746495061,0.62,8945,-2.890371757896165
33,A10249252O9I20MRSOBVF,64,"(1, 3)",1.0,0.0,0.6931471805599453,0.006535947712418301,1.0,0.0,0.9599710070645919,0.022988502256591492,0.82,6595,-5.030437921392435
34,A10249252O9I20MRSOBVF,64,"(1, 2)",1.0,0.0,0.0,0.0012254901960784314,1.0,0.0,0.0,0.002717391304347825,0.84,10345,-6.704414354964107
35,A10249252O9I20MRSOBVF,64,"(5, 5)",1.0,0.0,0.0,0.000326797385620915,1.0,0.0,0.0,0.0005,0.95,3266,-8.026170194946426
36,A10249252O9I20MRSOBVF,65,"(2, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.058823529411764705,0.4182481168921984,1.0500135543975464,0.33628080672234434,0.06970801884835921,0.36,10488,-2.833213344056216
37,A10249252O9I20MRSOBVF,65,"(3, 1)",0.3333333333333333,1.0986122886681096,0.0,0.007352941176470588,0.4444444397880126,0.9497732184563005,0.033588616230911236,0.006410256377850984,0.42,4671,-4.912654885736052
38,A10249252O9I20MRSOBVF,65,"(4, 0)",1.0,0.0,1.0986122886681098,0.0014705882352941176,1.0,0.0,0.8109302266933005,0.002249036050478932,0.48,2527,-6.522092798170152
39,A10249252O9I20MRSOBVF,65,"(5, 4)",1.0,0.0,0.0,0.0004201680672268908,1.0,0.0,0.0,0.0005901445876652572,0.6,2942,-7.77485576666552
40,A10249252O9I20MRSOBVF,66,"(5, 1)",0.5,0.6931471805599453,0.6931471805599453,0.1,0.4989073355184446,0.6931447927267063,0.6931495683931843,0.12536769086885546,0.23,19811,-2.3025850929940455
41,A10249252O9I20MRSOBVF,66,"(5, 4)",1.0,0.0,0.6931471805599453,0.022222222222222223,1.0,0.0,0.6953349008389044,0.049180327868852666,0.3,13986,-3.8066624897703196
42,A10249252O9I20MRSOBVF,66,"(3, 2)",1.0,0.0,0.0,0.008333333333333333,1.0,0.0,0.0,0.017045454545454548,0.36,2727,-4.787491742782046
43,A10249252O9I20MRSOBVF,66,"(3, 3)",1.0,0.0,0.0,0.004761904761904762,1.0,0.0,0.0,0.009316769502323397,0.55,10078,-5.3471075307174685
44,A10249252O9I20MRSOBVF,67,"(2, 2)",0.25,1.3862943611198906,0.0,0.25,0.9851011005996229,0.09200214936546611,1.2942922117544244,0.25,0.5,6956,-1.3862943611198906
45,A10249252O9I20MRSOBVF,67,"(3, 3)",0.25,1.3862943611198906,0.0,0.16666666666666666,1.0,8.838905033367248e-34,0.01501100287453037,0.16666666666666666,0.5,2645,-1.791759469228055
46,A10249252O9I20MRSOBVF,68,"(4, 1)",0.5,0.6931471805599453,0.6931471805599453,0.1111111111111111,0.7979192587873557,0.5032734487032384,0.8830209124166523,0.1984955709926356,0.6,9001,-2.1972245773362196
47,A10249252O9I20MRSOBVF,68,"(2, 3)",0.5,0.6931471805599453,0.0,0.027777777777777776,0.999999999973384,6.747038466539803e-10,0.22574786547763115,0.03333333333333333,0.68,17228,-3.58351893845611
48,A10249252O9I20MRSOBVF,69,"(0, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.0625,0.3976053915718808,0.6721559511897752,0.7141384099301153,0.05964083963783095,0.24,14424,-2.772588722239781
49,A10249252O9I20MRSOBVF,69,"(2, 4)",1.0,0.0,1.0986122886681098,0.008333333333333333,1.0,0.0,0.9222952440002073,0.018987350058630267,0.76,18297,-4.787491742782046
50,A10249252O9I20MRSOBVF,70,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3187397118451347,1.0404525817531545,0.3458417793667364,0.1274958847380539,0.35,11220,-2.0794415416798357
51,A10249252O9I20MRSOBVF,70,"(1, 2)",0.5,0.6931471805599453,0.4054651081081644,0.03571428571428571,0.807231092179179,0.49021309253018575,0.7406331021167134,0.0717538749170125,0.55,16735,-3.332204510175204
52,A10249252O9I20MRSOBVF,71,"(4, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.47878027203618073,1.0404525817531545,0.3458417793667362,0.19151210881447228,0.29,30088,-1.791759469228055
53,A10249252O9I20MRSOBVF,71,"(1, 4)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.773132660563584,0.6466766575208683,0.20198479272948486,0.0687229067538205,0.38,21634,-2.70805020110221
54,A10249252O9I20MRSOBVF,72,"(0, 3)",0.5,0.6931471805599453,0.6931471805599453,0.08333333333333333,0.5897481128108205,0.6769500938156026,0.7093442673042881,0.13876426183784013,0.45,9991,-2.4849066497880004
55,A10249252O9I20MRSOBVF,72,"(5, 5)",0.5,0.6931471805599453,0.0,0.015151515151515152,0.7412253376490928,0.5717713465905907,0.050203998362841507,0.021800745224973318,0.65,11631,-4.189654742026425
56,A10249252O9I20MRSOBVF,72,"(5, 2)",0.5,0.6931471805599453,0.0,0.004545454545454545,0.94091137113214,0.22445245402425268,0.13717988929885366,0.0055347731869337495,0.71,8439,-5.393627546352362
57,A10249252O9I20MRSOBVF,72,"(1, 1)",0.5,0.6931471805599453,0.0,0.00202020202020202,0.9999999999881418,3.1018413318535513e-10,0.06090632938710294,0.002097822488370977,0.71,46038,-6.20455776256869
58,A10249252O9I20MRSOBVF,73,"(0, 0)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.06666666666666667,0.3370477525431119,1.087843407735319,0.2984509533845718,0.07930535353955574,0.22,10314,-2.70805020110221
59,A10249252O9I20MRSOBVF,73,"(1, 0)",0.5,0.6931471805599453,0.4054651081081644,0.009523809523809525,0.6468092167227703,0.6493995141007942,0.5138925484650703,0.019023800491846182,0.28,22696,-4.653960350157523
60,A10249252O9I20MRSOBVF,73,"(2, 1)",0.5,0.6931471805599453,0.0,0.002197802197802198,0.8130425465005289,0.4817810423200424,0.06704015859208408,0.004782603052972349,0.43,17147,-6.12029741895095
61,A10249252O9I20MRSOBVF,73,"(4, 1)",0.5,0.6931471805599453,0.0,0.0007326007326007326,0.9974797071612804,0.017596984444138607,0.1930794380605815,0.0014388489122115593,0.73,81880,-7.21890970761906
62,A10249252O9I20MRSOBVF,74,"(1, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.6180339614888183,0.6650191282660158,0.7212752328538747,0.20601132781559245,0.45,18399,-1.791759469228055
63,A10249252O9I20MRSOBVF,74,"(2, 2)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.8827822183206118,0.36134471677380786,0.17627373466233956,0.07356518487662336,0.5,8014,-2.70805020110221
64,A10249252O9I20MRSOBVF,75,"(1, 2)",0.25,1.3862943611198906,0.0,0.125,0.607907507509479,1.0465931237639794,0.33970123735591146,0.12158184716183847,0.34,18997,-2.0794415416798357
65,A10249252O9I20MRSOBVF,75,"(4, 3)",0.25,1.3862943611198906,0.0,0.03571428571428571,0.9999998466214506,2.6230310179653773e-06,0.49773008177966044,0.03571428561789758,0.6,3576,-3.332204510175204
66,A10249252O9I20MRSOBVF,76,"(0, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.0625,0.345983518184021,1.098254441315075,0.2880399198048158,0.0691967036368042,0.3,16558,-2.772588722239781
